#;HEX;%;Name
1;#BEC5D1;40,82;pale blue-cyan
1;#959794;15,02;grey
1;#5F6B3A;13,25;yellow
1;#64656B;12,65;grey
1;#2F3A46;11,81;dark blue-cyan
2;#777476;30,02;grey
2;#9EA3B6;21,05;pale blue
2;#43413B;18,12;dark orange
2;#CFCBD2;18,04;very light grey
2;#5679B3;10,67;blue-cyan
3;#393C34;23,12;dark yellow-green
3;#6F6F64;22,12;pale yellow
3;#909D7F;21,65;pale yellow-green
3;#5F714C;16,63;yellow-green
3;#BEB4B2;12,41;light grey
4;#33453D;23,99;dark blue-green
4;#A9BFEC;19,19;light blue-cyan
4;#556D7D;17,13;blue-cyan
4;#839BD3;13,9;light blue-cyan
4;#CFD4E6;13,82;pale blue
5;#847B76;24,04;pale red-orange
5;#76411D;19,61;red-orange
5;#CD8F34;18,6;orange
5;#A75517;18,28;vivid red-orange
5;#A77B4D;13,42;orange
6;#BAAFA8;28,8;pale red-orange
6;#E0D5D0;20,07;very light grey
6;#8F7471;15,35;pale red
6;#4E4647;14;dark red
6;#898F84;11,3;grey
7;#CA804E;22,49;red-orange
7;#784128;20,28;red-orange
7;#5B6B77;19,17;pale blue-cyan
7;#342B25;17,53;dark red-orange
7;#9F7E67;14,43;red-orange
8;#603E33;25,24;dark red
8;#696D63;20,04;pale yellow-green
8;#36322F;19,42;dark red-orange
8;#A06D5A;14,14;red-orange
8;#A99C8C;12,14;pale orange
9;#4F525D;32,57;dark blue
9;#6D4237;16,78;red
9;#A57C5E;14,85;red-orange
9;#C8624E;13,86;red
9;#DDAC79;11,26;orange
