#;R_mean;G_mean;B_mean;H°_mean;S%_mean;V%_mean;L_mean;C_mean
1;136;141,8;140,5;174,7;20,3;59,4;57,7;11
2;132;132,4;142,6;183,1;19,2;59,3;55,2;11,8
3;116,5;122;101;96,6;19,8;49,1;49,7;14,1
4;121,5;138;154;181,1;28,2;63,1;56;17,9
5;149,9;103,5;59,9;42,7;59,8;59,2;47,8;35,8
6;165,8;150,2;141;107,3;16,7;65,7;62,9;10,8
7;133,3;102,4;83,2;68,4;42,7;54,7;45,8;23,9
8;119;101,1;89,9;52,6;27,7;47,5;43,6;13,3
9;128,2;95,6;84;97,9;36,3;52,3;43,6;21,8
10;121,6;99,2;100;152,8;34,9;51,8;44;19,9
11;94,9;89,6;86,4;82,2;27,7;37,4;36,4;4,1
12;77,4;64;43;39,5;52,7;30,4;27,5;14,9
13;108,6;60,7;16,7;38,8;86,3;42,8;30,4;37,5
14;126,5;130,1;144,9;250,3;16,6;57,2;53,1;9,5
15;47,2;37,9;8,4;44,9;80,9;18,6;15;15,9
16;105,7;83;85,4;190,6;40,9;43,6;36,8;17,2
17;74,2;51;33;32;61,5;29,1;22,1;17,2
18;109,1;89,9;75,2;56,5;36,3;42,8;38,7;13,7
19;88,5;62,8;35,2;35,6;64,2;34,7;27,6;21,3
20;92,3;72,9;53,1;44;54,8;36,2;31,2;15,6
21;84,2;62,5;39,3;72,3;46,1;33,2;26,8;18,3
22;104,2;60,4;32,7;37,7;66,4;40,9;29,4;29,9
23;82,6;78,8;71,5;81,9;21,1;33,1;32,6;6,8
24;114,5;77,7;37,4;51,5;69,9;45,3;35,5;30,7
25;107,5;100,8;89,9;81;28,7;44;42,1;11,3
26;135,7;78,7;21,6;28,2;87,9;53,2;38,2;44,1
27;147,7;144,6;141,3;103,1;7,9;58,7;59,3;4,3
28;60,9;41;18,6;27,9;80,5;23,9;17,6;17
29;124,9;92,6;36,5;39,4;77,6;49;40,1;35,7
30;134,3;79,9;40;27,3;72,5;52,7;39;37,1
31;136,4;90,5;18,3;35,2;84,8;53,5;41,7;45,3
32;107,8;64,8;19,8;35,5;85;42,5;30,8;35,6
33;100,5;50,7;25,6;47;72,5;39,5;26,6;31,5
34;122,1;69,6;27,7;30,1;75,3;47,9;33,7;36,2
35;137,7;82,9;32,2;27,6;78,4;54;39,6;41
36;96,7;41,5;8,7;26,1;88,7;38;23,8;37,2
37;106,8;48,6;9,2;33,1;93,9;41,9;26,9;38,7
38;94,3;54;24,7;25,2;70,5;37;26;29
39;129,4;77,4;20,9;28,7;83,8;50,8;37;41,5
40;119,3;70,3;32,9;26,2;72,8;46,8;34;34,4
41;105;57,4;8,6;32;92,4;41,2;28,5;37,4
42;91,7;79,4;61,6;129,1;52,6;41,8;33,9;24,6
